Email,Full name,Age,Gender,Low-So,Medical Condition,How often do you consume outside food?,Do you monitor salt intake?,Have you used any smart spoon?,Are you willing to try one?,Would you recommend it?,How important is taste in your meals?,What feature would you prefer?,Do you use any suggestions for reducing salt?,Any suggestions/comments?,Salt1,Salt2,Salt3,Salt4,Salt5,Salt6,Salt7,Salt8,Salt9,Salt10
brianrobinson@brooks.com,Tracy Berry,42,Other,Yes,No,Weekly,Sometimes,Yes,Maybe,Maybe,Important,Automated,No,Test size according talk.,Perfect,1/4 tsp,1/2 tsp,More than 1 tsp,More than 1 tsp,1/2 tsp,Too Bland,Too Bland,Too Salty,1/4 tsp
eileen23@martin.org,Shawn Mcgrath,57,Male,Yes,Yes,Daily,Sometimes,No,No,No,Important,Adjustable,No,Region always rich sport how gun.,1/4 tsp,More than 1 tsp,1/2 tsp,1/2 tsp,N/A,More than 1 tsp,Perfect,1/4 tsp,Perfect,N/A
peterpham@hotmail.com,Laura Torres,57,Other,No,No,Rarely,Sometimes,Yes,Maybe,Maybe,Neutral,Mobile App,Yes,Relate have ahead add sit program move.,Too Bland,More than 1 tsp,1/2 tsp,1/4 tsp,N/A,Too Bland,Perfect,Too Salty,Perfect,Too Salty
brandon53@yahoo.com,Kimberly Casey,55,Other,Yes,Yes,Monthly,Sometimes,Yes,Yes,No,Very Important,Mobile App,No,Able career pay how.,N/A,1/4 tsp,N/A,1/2 tsp,Perfect,1/2 tsp,Too Salty,More than 1 tsp,1/4 tsp,N/A
clang@hotmail.com,Joshua Jackson,20,Other,No,No,Daily,Sometimes,Maybe,Yes,Maybe,Not Important,Mobile App,Yes,Represent goal know nor than.,N/A,Too Salty,Too Salty,1/2 tsp,Too Salty,Too Bland,1/4 tsp,N/A,Perfect,Perfect
alexandersmith@nichols.com,Brandon Norman,32,Female,No,No,Daily,Always,Maybe,No,Yes,Neutral,Voice Control,Yes,Letter quite close ground effort difficult blood decade space.,Too Bland,Too Bland,N/A,N/A,More than 1 tsp,More than 1 tsp,Perfect,More than 1 tsp,Too Bland,Perfect
michaelphillips@hotmail.com,Alexandra Perez MD,36,Male,No,No,Daily,Never,No,No,No,Not Important,Voice Control,Yes,Tend include oil officer rate thing black.,N/A,More than 1 tsp,Too Salty,More than 1 tsp,Too Salty,N/A,Too Salty,1/4 tsp,Too Bland,1/4 tsp
frances71@parker.com,James Carter,45,Other,No,No,Monthly,Sometimes,Maybe,No,Yes,Not Important,Voice Control,No,Four board machine very choose manage buy never.,1/4 tsp,1/2 tsp,1/4 tsp,Too Bland,More than 1 tsp,1/4 tsp,Too Salty,Perfect,Too Bland,1/2 tsp
achavez@fuller.com,Kathryn Hayes,49,Female,No,Yes,Weekly,Sometimes,Yes,No,Maybe,Very Important,Adjustable,Yes,Plant his walk easy heavy expect under list stay.,N/A,1/2 tsp,Perfect,Too Bland,1/4 tsp,Perfect,Too Bland,N/A,N/A,Perfect
arnoldwilliam@watkins.biz,Andrew Ellis,64,Male,No,Yes,Weekly,Sometimes,No,Yes,Yes,Very Important,Automated,Yes,Next door skill room local ago international case.,Perfect,Too Salty,1/4 tsp,Perfect,N/A,1/2 tsp,More than 1 tsp,More than 1 tsp,Too Salty,Too Salty
jdawson@terry.org,Harold Murphy,47,Other,No,No,Not applicable,Always,No,Yes,No,Very Important,Voice Control,No,Civil not consumer white red space.,Perfect,1/2 tsp,Perfect,Too Bland,Too Bland,1/4 tsp,Too Bland,More than 1 tsp,1/2 tsp,Too Bland
wheeleremily@yahoo.com,Hailey Johnson,57,Female,Yes,Yes,Rarely,Never,Maybe,Yes,No,Very Important,Mobile App,Yes,Remain happy glass wait recognize least then.,N/A,Too Salty,N/A,Perfect,1/4 tsp,N/A,Too Salty,Perfect,Too Salty,Too Salty
longdustin@grant.com,Christie Clarke,32,Other,No,Yes,Rarely,Always,No,Maybe,Yes,Neutral,Simple UI,No,Husband live with figure change form much scene soldier.,Too Bland,1/2 tsp,N/A,Too Bland,Too Bland,Too Salty,Too Salty,Too Bland,Perfect,Perfect
nicholasreyes@wright.biz,Kimberly Griffith,48,Male,No,Yes,Daily,Never,No,Yes,Maybe,Very Important,Adjustable,No,Design finally charge television.,1/2 tsp,N/A,1/2 tsp,Perfect,Perfect,Perfect,Too Salty,Too Bland,1/2 tsp,Perfect
erichammond@gmail.com,Adam Taylor,51,Male,Yes,Yes,Not applicable,Always,No,Maybe,Yes,Not Important,Automated,No,Set goal middle boy product capital stock special season even.,Too Salty,N/A,1/4 tsp,Too Salty,N/A,Perfect,Too Salty,1/2 tsp,Too Bland,Too Bland
ncollins@clements.net,Jonathan Gray,47,Male,Yes,No,Weekly,Sometimes,No,Yes,No,Important,Simple UI,Yes,Interview bit himself cause throughout political yes throw.,More than 1 tsp,Perfect,Too Bland,Too Bland,N/A,1/4 tsp,Too Bland,N/A,Too Bland,Too Bland
lramsey@gmail.com,Katrina Myers,29,Male,No,No,Weekly,Always,No,Maybe,No,Very Important,Simple UI,No,Wait newspaper detail box foreign anyone per interesting.,1/2 tsp,More than 1 tsp,N/A,More than 1 tsp,Too Salty,N/A,Perfect,1/2 tsp,1/4 tsp,N/A
teresareeves@gmail.com,Mr. Joseph Bush,52,Female,No,Yes,Not applicable,Never,Maybe,Maybe,Yes,Neutral,Automated,Yes,Let surface tree throw health speak.,Too Bland,1/2 tsp,Too Salty,Too Bland,Perfect,Too Bland,1/4 tsp,Perfect,1/2 tsp,Too Bland
arianalong@wells.net,Larry Kline,46,Male,No,No,Monthly,Never,Maybe,No,Maybe,Important,Simple UI,No,Account who bill most figure cup avoid.,More than 1 tsp,More than 1 tsp,Too Bland,Too Bland,1/4 tsp,More than 1 tsp,More than 1 tsp,1/2 tsp,Too Salty,N/A
amy17@santos.net,Dawn Sullivan,54,Female,No,Yes,Weekly,Never,Yes,Maybe,Maybe,Important,Adjustable,Yes,Often house toward paper market west court.,Perfect,N/A,More than 1 tsp,Too Bland,Too Bland,Too Salty,Too Salty,1/4 tsp,1/4 tsp,1/2 tsp
longisaac@coffey.com,Amy Garcia,25,Female,No,Yes,Daily,Never,Yes,Maybe,Maybe,Very Important,Automated,Yes,Star treatment add when friend indeed.,1/2 tsp,Too Bland,Perfect,Too Bland,1/4 tsp,Perfect,More than 1 tsp,More than 1 tsp,Perfect,More than 1 tsp
michaelriggs@church.com,Phillip Duncan,51,Other,No,Yes,Weekly,Sometimes,Maybe,Maybe,Yes,Not Important,Automated,No,Your there develop live fact foot ask middle election usually general.,More than 1 tsp,Too Bland,1/4 tsp,Perfect,Too Bland,N/A,More than 1 tsp,1/4 tsp,Perfect,1/2 tsp
nicholascordova@peterson-nelson.com,Wanda Nelson,42,Male,Yes,No,Weekly,Sometimes,No,Maybe,No,Very Important,Mobile App,Yes,Particularly industry upon level not.,1/2 tsp,1/2 tsp,Perfect,1/2 tsp,More than 1 tsp,Too Salty,N/A,More than 1 tsp,N/A,Perfect
tmcmillan@vasquez.com,Stacy Smith,64,Male,Yes,No,Daily,Never,Maybe,Yes,Maybe,Very Important,Mobile App,Yes,Police reach three home grow small including task.,N/A,1/2 tsp,More than 1 tsp,N/A,More than 1 tsp,N/A,Too Bland,Too Salty,1/2 tsp,Too Bland
sarah35@davis-shepard.com,Christopher Frazier,62,Female,Yes,No,Rarely,Never,No,No,Maybe,Very Important,Voice Control,Yes,Age all clear response either base free.,Too Bland,N/A,1/2 tsp,1/4 tsp,Too Salty,Too Salty,N/A,1/2 tsp,1/4 tsp,N/A
nkeith@yahoo.com,Alexander Acosta,53,Female,No,No,Weekly,Sometimes,No,Maybe,No,Important,Mobile App,No,Season stay note drug little list rest school identify forget hear.,Too Bland,N/A,Too Bland,1/2 tsp,N/A,Perfect,Perfect,Too Bland,Too Salty,Too Bland
amy30@hotmail.com,Shawn Smith,50,Female,No,Yes,Monthly,Never,Maybe,Maybe,Maybe,Not Important,Adjustable,No,Yard role most ability identify.,More than 1 tsp,Too Bland,1/4 tsp,More than 1 tsp,N/A,Too Salty,1/4 tsp,Too Bland,1/4 tsp,N/A
david45@williams.com,Michelle Wade,65,Female,Yes,Yes,Rarely,Never,Yes,No,Yes,Not Important,Automated,No,Might sell once top draw level event region understand respond figure.,More than 1 tsp,Too Bland,Too Bland,N/A,Perfect,Too Salty,1/2 tsp,1/2 tsp,Too Salty,1/4 tsp
michele76@yahoo.com,Mary Daniels,35,Other,No,Yes,Daily,Sometimes,No,No,Maybe,Very Important,Voice Control,Yes,Once no similar indicate model front account whose history impact.,Perfect,Perfect,1/2 tsp,More than 1 tsp,Too Bland,Too Bland,1/4 tsp,More than 1 tsp,N/A,1/2 tsp
phillipgarza@yahoo.com,Brandon Jackson,43,Other,Yes,Yes,Daily,Always,Maybe,No,Yes,Very Important,Voice Control,No,Our capital which go likely foot back school.,Perfect,1/4 tsp,1/2 tsp,More than 1 tsp,Too Salty,1/4 tsp,1/2 tsp,More than 1 tsp,Perfect,N/A
joseavila@moran.biz,Jonathan Wallace,58,Female,Yes,No,Daily,Sometimes,Yes,No,Maybe,Very Important,Voice Control,No,Every alone behind seem high painting.,Perfect,N/A,Too Salty,1/2 tsp,N/A,1/4 tsp,1/4 tsp,1/4 tsp,N/A,Too Salty
fowlerstacie@hotmail.com,Stephanie Mason,55,Female,Yes,No,Daily,Never,No,Maybe,Maybe,Neutral,Mobile App,No,Respond church nature every hour fire either example simply have development.,N/A,More than 1 tsp,1/2 tsp,Too Bland,1/2 tsp,Too Salty,1/4 tsp,More than 1 tsp,1/2 tsp,N/A
qgarcia@torres.com,William Combs,31,Female,No,Yes,Daily,Never,Maybe,Maybe,Maybe,Very Important,Simple UI,Yes,Its least my present place decide enough evening.,1/4 tsp,More than 1 tsp,1/4 tsp,Perfect,1/4 tsp,N/A,N/A,More than 1 tsp,Perfect,Too Bland
fmcgee@hotmail.com,Kristina Merritt,50,Other,No,No,Not applicable,Sometimes,Maybe,Maybe,Yes,Neutral,Automated,Yes,Majority section man most suggest cell point role bill moment.,More than 1 tsp,Too Salty,N/A,N/A,More than 1 tsp,Perfect,Perfect,Perfect,Too Salty,1/2 tsp
hicksrobert@garcia.info,Nicole Shaffer,63,Female,No,Yes,Monthly,Never,Maybe,No,Yes,Very Important,Simple UI,Yes,Company though film result old wife other national bar.,Perfect,1/4 tsp,1/4 tsp,Too Bland,Perfect,N/A,Too Bland,More than 1 tsp,Perfect,More than 1 tsp
evansstephen@tucker.org,Kimberly Roman,38,Male,Yes,No,Monthly,Sometimes,Maybe,No,Yes,Neutral,Adjustable,Yes,My development story candidate next benefit animal do.,Too Salty,More than 1 tsp,Perfect,1/4 tsp,Too Bland,1/4 tsp,Too Bland,More than 1 tsp,Perfect,1/2 tsp
vvaughan@hicks.com,Thomas James,34,Male,Yes,No,Monthly,Never,Maybe,Maybe,Yes,Very Important,Automated,Yes,Art history region reflect usually college media.,N/A,1/4 tsp,Too Salty,Perfect,Too Bland,Too Salty,1/2 tsp,More than 1 tsp,Too Salty,Too Salty
moniquenorris@herrera.com,Angela Curtis,65,Male,Yes,Yes,Monthly,Sometimes,No,No,Yes,Very Important,Automated,Yes,Pressure manage cell factor security better.,Too Bland,N/A,More than 1 tsp,1/2 tsp,More than 1 tsp,1/4 tsp,N/A,1/2 tsp,1/4 tsp,1/2 tsp
melissadougherty@hotmail.com,Anita Lowe,58,Female,Yes,No,Monthly,Always,Yes,Maybe,Yes,Not Important,Adjustable,No,Once second about whether glass realize force.,N/A,More than 1 tsp,Too Salty,1/2 tsp,Perfect,1/2 tsp,Too Salty,1/2 tsp,More than 1 tsp,1/2 tsp
marie04@yahoo.com,Jerry May,29,Other,No,No,Daily,Always,Maybe,Maybe,Maybe,Neutral,Automated,No,Social window prepare difficult manager news only save director population.,Perfect,Too Salty,Perfect,1/2 tsp,Too Bland,1/2 tsp,1/4 tsp,1/4 tsp,Perfect,Too Bland
thays@king-conley.com,Maureen Wilson,46,Male,Yes,No,Not applicable,Never,Yes,Maybe,Maybe,Not Important,Simple UI,Yes,Water service sort including five.,More than 1 tsp,More than 1 tsp,More than 1 tsp,Too Salty,N/A,N/A,1/4 tsp,More than 1 tsp,1/2 tsp,1/4 tsp
umorrison@thompson.info,Amy Harris,45,Other,Yes,No,Rarely,Sometimes,Yes,Yes,No,Neutral,Voice Control,Yes,Hit hospital account star half major best particular.,Too Bland,Perfect,Too Bland,N/A,Too Bland,N/A,N/A,Too Bland,Too Salty,Perfect
hawkinskathleen@yahoo.com,Troy Tate,25,Male,No,No,Monthly,Sometimes,No,Maybe,Maybe,Very Important,Mobile App,No,Audience year wish nearly four recently still customer attack side why.,1/2 tsp,Too Bland,1/4 tsp,More than 1 tsp,1/4 tsp,Too Bland,Too Salty,Too Bland,Perfect,1/4 tsp
grantphilip@yahoo.com,Jimmy Riggs,25,Male,No,Yes,Daily,Never,Yes,Maybe,Maybe,Not Important,Adjustable,No,Affect mouth time wait family suffer choose score no painting food.,Perfect,1/2 tsp,Too Bland,More than 1 tsp,Too Bland,1/2 tsp,N/A,Perfect,1/2 tsp,N/A
heather02@hood.net,Cynthia Abbott,55,Female,Yes,Yes,Daily,Always,Yes,No,No,Not Important,Simple UI,No,Create herself pay draw us other can.,More than 1 tsp,1/2 tsp,1/4 tsp,Too Salty,N/A,1/2 tsp,1/2 tsp,N/A,1/4 tsp,N/A
adam13@gmail.com,William Edwards,59,Other,No,Yes,Monthly,Sometimes,Maybe,Maybe,No,Not Important,Mobile App,Yes,Stand decision office check degree standard sit before.,More than 1 tsp,Too Bland,Too Salty,1/4 tsp,Too Bland,1/4 tsp,1/4 tsp,1/4 tsp,More than 1 tsp,Too Bland
alan39@yahoo.com,Eric Alvarado,63,Other,No,Yes,Weekly,Never,No,No,Yes,Neutral,Voice Control,No,Agency others firm idea able when.,Too Bland,More than 1 tsp,More than 1 tsp,Too Bland,More than 1 tsp,Perfect,N/A,1/2 tsp,1/2 tsp,1/4 tsp
shepherdmargaret@dawson.com,Mrs. Rebecca Johnson,18,Male,No,No,Daily,Never,Yes,Yes,No,Very Important,Mobile App,No,Own rich create truth animal.,More than 1 tsp,Too Bland,Too Bland,Too Bland,Perfect,1/4 tsp,Too Salty,Too Salty,More than 1 tsp,Perfect
tcampbell@gmail.com,Alice Keller,35,Male,No,Yes,Not applicable,Always,No,Yes,Maybe,Important,Voice Control,No,We grow defense there debate feel produce reality carry.,Too Bland,Too Salty,Too Salty,Too Salty,More than 1 tsp,1/4 tsp,Perfect,Perfect,1/2 tsp,More than 1 tsp
elucas@morrow.com,Kenneth Burnett,26,Other,No,No,Not applicable,Never,Yes,Maybe,No,Important,Mobile App,Yes,Pretty technology newspaper action cultural official.,Too Salty,1/2 tsp,More than 1 tsp,N/A,Too Bland,Too Salty,1/4 tsp,More than 1 tsp,1/2 tsp,Too Bland
joshua16@gmail.com,Jesse Frey,26,Other,Yes,Yes,Not applicable,Sometimes,Maybe,No,Yes,Neutral,Adjustable,No,Effect call well door choose baby.,1/2 tsp,Too Bland,Too Bland,Too Bland,1/4 tsp,More than 1 tsp,1/2 tsp,Too Salty,N/A,1/4 tsp
bobbyrivera@orozco.com,Mr. Jordan Simpson,21,Male,No,No,Daily,Always,No,Maybe,Yes,Neutral,Voice Control,Yes,Push require contain work land after expert involve return begin let.,1/2 tsp,Perfect,Too Bland,Too Salty,Perfect,1/2 tsp,1/2 tsp,N/A,Perfect,1/4 tsp
crossdarryl@yahoo.com,Kendra Freeman,46,Other,No,Yes,Not applicable,Sometimes,Yes,Yes,Yes,Important,Automated,Yes,Reason us information far later decide.,More than 1 tsp,Perfect,1/2 tsp,Perfect,Too Salty,N/A,1/2 tsp,Too Salty,Perfect,Too Bland
zwatkins@johnson.biz,Renee Sweeney,54,Female,Yes,Yes,Not applicable,Always,No,Yes,Yes,Very Important,Automated,No,Similar company speech interview forward.,Too Bland,Too Bland,Too Salty,More than 1 tsp,Too Salty,N/A,1/2 tsp,More than 1 tsp,1/2 tsp,1/2 tsp
emartin@huynh.com,Cameron Simon,44,Female,No,Yes,Weekly,Sometimes,No,Yes,Yes,Not Important,Automated,No,Amount American light push someone time fill.,Too Salty,N/A,More than 1 tsp,1/4 tsp,1/4 tsp,Too Bland,Too Salty,More than 1 tsp,1/4 tsp,Too Salty
courtneyflores@ashley.com,Ian Holder,50,Female,No,Yes,Monthly,Sometimes,Maybe,Yes,Maybe,Not Important,Automated,No,While though especially three create sister admit.,N/A,1/4 tsp,1/4 tsp,N/A,Too Bland,Too Salty,More than 1 tsp,1/2 tsp,Too Salty,Perfect
dcarpenter@hotmail.com,Jessica Calderon,21,Male,Yes,No,Monthly,Always,Maybe,No,No,Neutral,Adjustable,No,Eight space improve mouth two.,1/2 tsp,1/2 tsp,Perfect,N/A,Too Bland,Perfect,1/2 tsp,1/2 tsp,1/2 tsp,Perfect
evaughan@walker-arnold.com,Stacy Price,48,Other,No,Yes,Daily,Sometimes,Yes,Maybe,Maybe,Very Important,Automated,No,Medical only meeting whose quite history agent election game much.,Perfect,N/A,Too Salty,Too Bland,1/2 tsp,N/A,More than 1 tsp,Perfect,Too Salty,Too Bland
ayerscassandra@gmail.com,Richard Garcia,24,Male,No,No,Monthly,Always,Yes,Maybe,No,Neutral,Simple UI,No,Might eight official its into kind film.,N/A,Too Salty,Perfect,1/2 tsp,N/A,1/2 tsp,N/A,Perfect,Too Bland,N/A
cameronbutler@hotmail.com,Anthony Coleman,20,Female,Yes,No,Not applicable,Never,Maybe,Yes,No,Neutral,Simple UI,Yes,Point police change left argue hope exactly a.,1/2 tsp,More than 1 tsp,More than 1 tsp,1/2 tsp,Too Bland,1/4 tsp,N/A,N/A,Too Salty,Perfect
millslindsey@yahoo.com,Michael Duncan,19,Female,Yes,Yes,Weekly,Sometimes,Yes,No,Yes,Very Important,Mobile App,Yes,Across light necessary action speech respond.,Perfect,1/4 tsp,Too Bland,1/4 tsp,Too Salty,1/4 tsp,Too Bland,1/2 tsp,Too Bland,Perfect
lopeztimothy@buckley.com,Michael Walls,39,Other,Yes,Yes,Weekly,Sometimes,Yes,Maybe,Yes,Neutral,Mobile App,Yes,News condition century political exactly budget sell hope.,Perfect,Too Salty,1/2 tsp,N/A,N/A,Too Bland,N/A,N/A,Too Bland,Perfect
ttucker@yahoo.com,Roberta Hernandez,57,Female,Yes,No,Monthly,Never,Maybe,No,Maybe,Not Important,Adjustable,Yes,Manager former design mind treat indicate success.,More than 1 tsp,More than 1 tsp,1/4 tsp,More than 1 tsp,1/4 tsp,N/A,1/2 tsp,Perfect,N/A,Perfect
christopherkim@yahoo.com,Paul Johnson,41,Male,Yes,No,Rarely,Always,No,No,No,Important,Mobile App,Yes,Lawyer ready cold cost two authority partner sound.,More than 1 tsp,Perfect,1/4 tsp,1/2 tsp,More than 1 tsp,More than 1 tsp,Too Salty,More than 1 tsp,Perfect,1/2 tsp
jackmathews@yahoo.com,Katie Jacobs,42,Other,Yes,No,Not applicable,Sometimes,Maybe,Maybe,Yes,Very Important,Mobile App,Yes,Every heart night expert.,1/2 tsp,More than 1 tsp,1/4 tsp,1/2 tsp,Perfect,1/4 tsp,1/4 tsp,N/A,Perfect,Too Bland
laura99@gmail.com,Eddie Brewer,45,Female,No,Yes,Weekly,Never,Yes,Yes,Maybe,Very Important,Automated,No,Look skin Congress eight age film great.,Too Salty,1/4 tsp,N/A,1/2 tsp,1/4 tsp,Perfect,Too Salty,Too Bland,Too Salty,Too Bland
igilmore@yahoo.com,Jennifer Miller,28,Male,Yes,No,Rarely,Sometimes,No,No,Yes,Very Important,Adjustable,Yes,Themselves direction hear seat now possible structure fall.,Perfect,Too Bland,1/4 tsp,Perfect,N/A,Perfect,N/A,N/A,1/2 tsp,N/A
mikewillis@williams-hall.org,Michelle Williams PhD,26,Male,No,Yes,Monthly,Never,Yes,No,No,Important,Automated,No,Ability us teacher agree or quite enough these card.,1/4 tsp,Too Bland,1/2 tsp,1/2 tsp,1/2 tsp,Too Salty,1/2 tsp,Too Bland,Perfect,Perfect
wcarter@phillips.net,Michael Barron,60,Male,Yes,No,Daily,Always,Yes,Yes,Yes,Neutral,Adjustable,Yes,Director term summer between.,1/4 tsp,Perfect,1/4 tsp,N/A,Perfect,Too Salty,1/2 tsp,1/2 tsp,1/4 tsp,Perfect
jaime96@hamilton.org,Andrew Branch,35,Other,Yes,Yes,Weekly,Always,No,No,Maybe,Important,Voice Control,No,Consumer Mrs its both ask bill song.,Perfect,Perfect,1/4 tsp,Perfect,1/2 tsp,1/2 tsp,Too Salty,Perfect,Too Bland,Too Bland
nowen@yahoo.com,Scott Hull,28,Other,No,Yes,Weekly,Never,Maybe,No,Maybe,Very Important,Simple UI,No,Agreement work couple senior together yes south doctor within.,Perfect,Perfect,N/A,Too Salty,Too Salty,More than 1 tsp,Too Salty,1/4 tsp,1/4 tsp,More than 1 tsp
teresamay@hotmail.com,Karen Rodgers,31,Female,No,Yes,Monthly,Always,No,Yes,No,Not Important,Simple UI,Yes,Team night able personal cause meet challenge finally.,N/A,1/2 tsp,Perfect,Too Bland,N/A,1/4 tsp,Too Bland,1/2 tsp,1/2 tsp,1/4 tsp
donald85@wilson-patterson.net,Garrett Hines,20,Female,Yes,No,Not applicable,Always,Maybe,Yes,No,Neutral,Automated,Yes,Visit dark risk value customer maybe very.,N/A,Too Bland,Perfect,Perfect,1/4 tsp,N/A,Perfect,Too Salty,1/4 tsp,Too Salty
mjones@patel-morgan.com,Caitlyn Davis,42,Other,No,No,Daily,Never,No,No,No,Neutral,Voice Control,No,Red south size couple everyone more expect turn.,Too Bland,Too Salty,N/A,1/2 tsp,Too Salty,Too Salty,Too Salty,Too Bland,Too Salty,Too Bland
gutierrezmaria@hotmail.com,Robert Sandoval,20,Other,No,Yes,Weekly,Always,No,No,Yes,Important,Mobile App,Yes,Relate give could difference.,More than 1 tsp,N/A,Too Bland,1/2 tsp,1/2 tsp,1/4 tsp,Too Salty,Too Bland,Perfect,Perfect
wrightangela@yahoo.com,Brittany Lewis,55,Other,No,No,Weekly,Never,Yes,Maybe,No,Not Important,Adjustable,Yes,Establish side even box deal.,N/A,N/A,Perfect,N/A,N/A,1/4 tsp,1/4 tsp,Perfect,N/A,Perfect
michael48@hotmail.com,Alicia Hunter,40,Other,No,No,Not applicable,Sometimes,Maybe,Yes,Maybe,Neutral,Mobile App,Yes,Wrong window likely right grow peace you staff necessary.,Too Salty,Perfect,Too Salty,1/2 tsp,Too Bland,N/A,Too Salty,Perfect,1/4 tsp,Perfect
tamarastein@yahoo.com,Terry Bishop,30,Male,No,No,Daily,Sometimes,Yes,No,No,Very Important,Simple UI,Yes,Say student size power wide from staff school return live.,Too Bland,Too Salty,Perfect,Too Salty,Too Bland,More than 1 tsp,1/2 tsp,1/4 tsp,Too Salty,More than 1 tsp
orobinson@hotmail.com,Karen Thomas,56,Other,No,No,Not applicable,Always,Yes,No,Maybe,Neutral,Voice Control,No,Herself as identify feel nearly.,Too Bland,Perfect,1/2 tsp,More than 1 tsp,Perfect,Too Bland,1/4 tsp,Perfect,Perfect,1/4 tsp
petersonmark@gmail.com,Brittany Hartman,32,Other,No,No,Rarely,Never,No,No,Maybe,Neutral,Voice Control,Yes,Ground mother risk half safe hear six seven.,1/4 tsp,N/A,Perfect,1/2 tsp,Too Bland,Too Salty,N/A,N/A,1/4 tsp,Perfect
ayoung@white.com,Ashley Alvarado,18,Female,No,No,Daily,Sometimes,Maybe,Maybe,No,Neutral,Automated,Yes,Why eat from people.,Perfect,Too Bland,1/2 tsp,1/4 tsp,1/2 tsp,1/4 tsp,N/A,Too Bland,N/A,Too Bland
joshua46@gmail.com,Tracie Arias,59,Female,Yes,Yes,Rarely,Sometimes,Maybe,Maybe,Yes,Important,Mobile App,No,Let than about resource.,More than 1 tsp,Too Bland,1/4 tsp,1/4 tsp,Too Salty,Perfect,Too Bland,Too Bland,Too Bland,More than 1 tsp
madisonbryant@yahoo.com,Gabriel Cummings,43,Other,Yes,No,Daily,Never,No,Maybe,No,Important,Adjustable,Yes,Leader nice number matter reach brother property product share.,N/A,1/4 tsp,Perfect,1/4 tsp,1/4 tsp,More than 1 tsp,1/4 tsp,1/2 tsp,N/A,1/4 tsp
briana77@martinez.com,Mackenzie Bell,19,Female,Yes,No,Rarely,Always,No,Maybe,Maybe,Not Important,Adjustable,No,Class wonder believe size help marriage.,More than 1 tsp,More than 1 tsp,Too Salty,More than 1 tsp,Perfect,Too Bland,Too Salty,Too Bland,Perfect,More than 1 tsp
melinda89@lozano.com,Dawn Johnson,24,Female,Yes,No,Weekly,Always,Maybe,No,No,Not Important,Automated,Yes,What end health lead.,Too Salty,Perfect,Perfect,More than 1 tsp,Perfect,More than 1 tsp,1/2 tsp,1/4 tsp,Too Bland,1/4 tsp
katherineharris@thomas.com,Travis Brooks,18,Male,Yes,Yes,Weekly,Sometimes,No,No,No,Neutral,Adjustable,No,Paper beat toward agreement share food number add soldier possible.,1/4 tsp,Perfect,N/A,Too Bland,Too Salty,More than 1 tsp,More than 1 tsp,1/4 tsp,Perfect,1/4 tsp
djohnson@hotmail.com,Matthew Salazar,43,Female,Yes,No,Rarely,Never,Yes,Yes,Yes,Not Important,Automated,Yes,Agency thing cut guy answer us.,1/4 tsp,1/4 tsp,Too Bland,1/2 tsp,More than 1 tsp,N/A,Too Bland,N/A,1/2 tsp,Perfect
nbrown@flores-taylor.org,Teresa Bruce,43,Male,Yes,No,Not applicable,Sometimes,No,Yes,Yes,Important,Adjustable,Yes,Book food project item any huge visit person then.,1/4 tsp,1/2 tsp,1/4 tsp,Perfect,Perfect,Too Salty,1/2 tsp,N/A,1/4 tsp,N/A
floresbrandy@flowers.com,Kenneth Rodriguez,53,Other,No,No,Not applicable,Sometimes,Maybe,Maybe,Yes,Not Important,Mobile App,No,Into hold same floor director live before.,N/A,Too Salty,More than 1 tsp,Too Salty,N/A,N/A,N/A,More than 1 tsp,N/A,Perfect
poolewhitney@johnson.com,Adam Morris,45,Other,Yes,Yes,Monthly,Always,Yes,Yes,No,Not Important,Mobile App,No,Friend more get history music capital seven.,Perfect,More than 1 tsp,Perfect,More than 1 tsp,Perfect,N/A,Perfect,1/4 tsp,Too Salty,Too Bland
coffeymatthew@yahoo.com,Richard Shea,48,Male,Yes,No,Not applicable,Always,Maybe,No,Maybe,Neutral,Simple UI,No,Break though home condition city.,1/4 tsp,Too Bland,1/2 tsp,More than 1 tsp,Too Salty,More than 1 tsp,Too Bland,1/2 tsp,1/4 tsp,More than 1 tsp
gfigueroa@gmail.com,John Sullivan,47,Male,No,Yes,Rarely,Sometimes,Yes,Yes,Maybe,Neutral,Adjustable,No,Office move stage forward half hand.,Too Salty,Too Bland,1/4 tsp,Perfect,N/A,Too Salty,More than 1 tsp,Too Bland,1/2 tsp,1/2 tsp
gsullivan@yahoo.com,Tyler Davis,49,Female,Yes,No,Rarely,Always,Yes,Yes,No,Important,Voice Control,Yes,Through over our several.,1/4 tsp,N/A,Perfect,1/4 tsp,Too Salty,1/2 tsp,More than 1 tsp,N/A,More than 1 tsp,Perfect
ithomas@smith-velasquez.com,Gina Taylor,40,Male,No,Yes,Monthly,Always,Maybe,No,Maybe,Important,Automated,No,Local hope development defense challenge pressure example mission.,N/A,Perfect,Too Bland,Too Bland,Perfect,1/2 tsp,Too Salty,1/2 tsp,More than 1 tsp,N/A
aevans@nolan.com,Jose Taylor,62,Other,Yes,No,Weekly,Sometimes,Yes,Yes,Yes,Not Important,Adjustable,No,Language mother response lead sound per.,Too Bland,1/4 tsp,Too Bland,N/A,N/A,N/A,More than 1 tsp,1/4 tsp,N/A,More than 1 tsp
